id,articleType_grouped,baseColour,gender,season,usage
1766,Tshirts,Blue,Men,Fall,Casual
1782,Sports Shoes,Black,Men,Fall,Sports
1783,Sandals,Grey,Men,Spring,Sports
1784,Sports Shoes,White,Men,Fall,Sports
1785,Sports Shoes,White,Men,Fall,Sports
1786,Sports Shoes,White,Men,Fall,Sports
1787,Sports Shoes,White,Men,Fall,Sports
1788,Sports Shoes,White,Men,Fall,Sports
1789,Sports Shoes,Orange,Men,Fall,Sports
1790,Backpacks,Beige,Unisex,Fall,Sports
1792,Backpacks,Blue,Unisex,Summer,Sports
1793,Backpacks,Green,Unisex,Summer,Travel
1795,Backpacks,Black,Men,Fall,Sports
1799,Track Pants,White,Men,Summer,Sports
1800,Backpacks,Black,Unisex,Summer,Sports
1801,Backpacks,Pink,Women,Summer,Sports
1802,Sports Shoes,Brown,Men,Spring,Sports
1803,Tshirts,Black,Unisex,Fall,Sports
1804,Shorts,Black,Men,Fall,Sports
1807,Tshirts,Red,Men,Fall,Casual
1808,Water Bottle,Purple,Unisex,Fall,Sports
1809,Tshirts,Blue,Women,Fall,Sports
1810,Tshirts,Red,Men,Fall,Sports
1811,Tshirts,Orange,Men,Fall,Sports
1812,Tshirts,Green,Men,Fall,Sports
1813,Tshirts,Blue,Men,Fall,Sports
1828,Sports Shoes,White,Men,Fall,Sports
1831,Sports Shoes,Black,Men,Fall,Sports
1832,Sports Shoes,Black,Men,Fall,Sports
1833,Sports Shoes,Black,Men,Fall,Sports
1836,Sports Shoes,Silver,Men,Fall,Sports
1842,Sports Shoes,White,Men,Fall,Sports
1844,Tshirts,Blue,Men,Summer,Casual
1845,Tshirts,Blue,Men,Summer,Casual
1846,Tshirts,Blue,Men,Summer,Casual
1847,Tshirts,Blue,Men,Summer,Casual
1848,Tshirts,Black,Men,Summer,Casual
1849,Tshirts,White,Men,Summer,Casual
1854,Tshirts,Purple,Men,Summer,Casual
1855,Tshirts,Grey,Men,Summer,Casual
1856,Tshirts,Red,Men,Summer,Casual
1857,Tshirts,Black,Men,Summer,Casual
1859,Tshirts,Red,Men,Summer,Casual
1860,Tshirts,Grey,Men,Summer,Casual
1861,Tshirts,White,Men,Summer,Casual
1865,Tshirts,White,Men,Summer,Casual
1866,Tshirts,Maroon,Men,Summer,Casual
1867,Tshirts,Blue,Men,Summer,Casual
1868,Tshirts,White,Men,Summer,Casual
1869,Tshirts,Navy Blue,Men,Winter,Casual
1872,Tshirts,White,Men,Winter,Casual
1875,Tshirts,Green,Men,Winter,Casual
1876,Tshirts,White,Men,Winter,Casual
1877,Tshirts,Grey,Men,Winter,Casual
1880,Tshirts,Black,Men,Winter,Casual
1881,Tshirts,Grey,Men,Winter,Casual
1882,Tshirts,Red,Men,Winter,Casual
1883,Track Pants,Grey,Men,Winter,Casual
1884,Track Pants,Navy Blue,Men,Winter,Casual
1885,Shorts,Grey,Men,Winter,Casual
1886,Tshirts,Grey,Men,Winter,Casual
1887,Tshirts,Green,Men,Winter,Casual
1888,Tshirts,Black,Men,Winter,Casual
1889,Tshirts,Navy Blue,Men,Winter,Casual
1890,Tshirts,Red,Men,Winter,Casual
1891,Tshirts,White,Men,Winter,Casual
1895,Sweatshirts,Black,Men,Winter,Casual
1897,Tshirts,Blue,Men,Winter,Sports
1903,Tshirts,Yellow,Men,Winter,Sports
1904,Tshirts,Blue,Men,Winter,Sports
1905,Tshirts,Blue,Men,Winter,Casual
1909,Tshirts,Blue,Men,Fall,Sports
1910,Tshirts,Black,Men,Fall,Sports
1911,Tshirts,Blue,Men,Fall,Sports
1912,Tshirts,White,Men,Fall,Sports
1913,Tshirts,Black,Men,Fall,Sports
1915,Accessories,Yellow,Unisex,Summer,Casual
1917,Casual Shoes,White,Men,Fall,Casual
1918,Backpacks,Blue,Unisex,Fall,Sports
1920,Casual Shoes,Black,Men,Fall,Casual
1922,Tshirts,Black,Men,Fall,Sports
1923,Sports Shoes,White,Women,Fall,Sports
1924,Tshirts,White,Men,Fall,Sports
1927,Backpacks,Navy Blue,Unisex,Summer,Sports
1928,Tshirts,Green,Men,Fall,Casual
1929,Sports Shoes,Black,Men,Fall,Sports
1930,Backpacks,Red,Unisex,Fall,Sports
1932,Casual Shoes,Grey,Women,Fall,Casual
1934,Backpacks,Purple,Unisex,Summer,Sports
1936,Backpacks,Brown,Unisex,Fall,Sports
1938,Tshirts,Blue,Men,Fall,Casual
1941,Handbags,Brown,Women,Summer,Sports
1943,Duffel Bag,Grey,Unisex,Summer,Casual
1944,Tshirts,Blue,Men,Fall,Casual
1945,Tshirts,Green,Men,Fall,Sports
1948,Tshirts,Black,Men,Fall,Casual
1950,Tshirts,Black,Men,Fall,Casual
1951,Sports Shoes,Purple,Women,Fall,Sports
1963,Sports Shoes,White,Men,Fall,Sports
1964,Casual Shoes,Blue,Men,Winter,Casual
1966,Tshirts,Black,Men,Summer,Casual
1972,Tshirts,White,Men,Fall,Sports
1973,Tshirts,Brown,Men,Fall,Casual
1976,Shorts,White,Men,Summer,Casual
1977,Shorts,Grey,Men,Summer,Casual
1981,Shorts,Green,Women,Fall,Casual
1982,Shorts,Purple,Women,Fall,Casual
1983,Tshirts,Blue,Women,Fall,Casual
1984,Tshirts,White,Women,Fall,Sports
1985,Tshirts,Red,Women,Fall,Casual
1986,Tshirts,Blue,Women,Fall,Sports
1988,Tshirts,Red,Women,Fall,Sports
1989,Tshirts,Black,Women,Fall,Sports
1991,Tshirts,Blue,Women,Fall,Casual
1992,Tshirts,Yellow,Men,Fall,Sports
1993,Tshirts,Grey,Women,Fall,Casual
1994,Tshirts,Yellow,Women,Fall,Sports
1996,Tshirts,Grey,Men,Fall,Sports
1997,Shorts,Grey,Men,Fall,Sports
1999,Track Pants,Grey,Men,Fall,Casual
2001,Tshirts,Grey,Men,Fall,Sports
2002,Tshirts,Yellow,Women,Fall,Sports
2003,Tshirts,Blue,Men,Fall,Casual
2004,Tshirts,Red,Men,Fall,Sports
2005,Tshirts,Black,Men,Fall,Casual
2006,Tshirts,White,Men,Fall,Casual
2007,Tshirts,Black,Men,Fall,Casual
2008,Tshirts,Blue,Men,Fall,Sports
2010,Tshirts,Green,Men,Fall,Sports
2011,Tshirts,Blue,Men,Fall,Casual
2012,Tshirts,White,Men,Fall,Sports
2014,Tshirts,Yellow,Men,Fall,Sports
2015,Tshirts,Black,Men,Fall,Casual
2023,Tshirts,Grey,Men,Fall,Sports
2024,Tshirts,Red,Men,Fall,Casual
2025,Tshirts,Grey,Men,Fall,Sports
2026,Tshirts,Green,Men,Fall,Casual
2027,Tshirts,Blue,Men,Fall,Sports
2029,Tshirts,Blue,Men,Fall,Sports
2030,Tshirts,Black,Men,Fall,Sports
2031,Jackets,Black,Men,Fall,Sports
2032,Tshirts,White,Men,Fall,Sports
2033,Tshirts,White,Men,Fall,Sports
2035,Tshirts,Black,Men,Fall,Sports
2037,Tshirts,Black,Men,Fall,Sports
2038,Tshirts,Black,Men,Fall,Casual
2041,Tshirts,Grey,Men,Fall,Sports
2047,Tshirts,Navy Blue,Men,Fall,Sports
2048,Tshirts,Black,Men,Fall,Sports
2049,Tshirts,White,Men,Summer,Sports
2051,Tshirts,Cream,Men,Winter,Casual
2052,Tshirts,Brown,Men,Winter,Casual
2053,Tshirts,Grey,Men,Fall,Casual
2054,Tshirts,Maroon,Men,Winter,Casual
2055,Tshirts,Grey,Men,Winter,Casual
2057,Tshirts,Orange,Men,Winter,Casual
2060,Tshirts,Navy Blue,Men,Winter,Casual
2061,Tshirts,Blue,Men,Winter,Casual
2065,Tshirts,Black,Women,Fall,Sports
2069,Tshirts,White,Women,Fall,Sports
2078,Tshirts,Black,Women,Fall,Sports
2089,Tshirts,Purple,Men,Fall,Sports
2090,Tshirts,Black,Men,Fall,Sports
2091,Tshirts,Maroon,Men,Fall,Sports
2092,Tshirts,Blue,Men,Fall,Sports
2093,Shirts,Blue,Men,Winter,Casual
2094,Shirts,White,Men,Winter,Casual
2095,Shirts,Blue,Men,Winter,Casual
2096,Shirts,Green,Men,Winter,Casual
2097,Shirts,Blue,Men,Winter,Casual
2099,Shirts,White,Men,Winter,Casual
2101,Shirts,Blue,Men,Winter,Casual
2102,Shirts,White,Men,Winter,Casual
2103,Shirts,White,Men,Winter,Casual
2104,Shirts,Blue,Men,Winter,Casual
2106,Shorts,Navy Blue,Men,Fall,Sports
2107,Shorts,Navy Blue,Men,Fall,Sports
2108,Shorts,Black,Men,Fall,Sports
2109,Track Pants,Black,Women,Fall,Sports
2110,Track Pants,Tan,Women,Fall,Sports
2111,Track Pants,Black,Women,Fall,Sports
2113,Track Pants,Grey,Women,Fall,Sports
2114,Track Pants,Black,Women,Fall,Sports
2116,Track Pants,Black,Men,Fall,Sports
2119,Shirts,Pink,Women,Winter,Casual
2120,Tops,Navy Blue,Women,Winter,Casual
2121,Shirts,Black,Women,Winter,Casual
2122,Tops,Black,Women,Winter,Casual
2123,Tops,Blue,Women,Winter,Casual
2124,Tshirts,Black,Women,Winter,Casual
2125,Shirts,White,Women,Winter,Casual
2126,Shirts,White,Men,Spring,Casual
2127,Shirts,Red,Men,Spring,Casual
2128,Shirts,White,Men,Spring,Casual
2130,Shirts,Green,Men,Spring,Casual
2131,Shirts,Blue,Men,Summer,Casual
2132,Shirts,Brown,Men,Spring,Casual
2133,Shirts,Black,Men,Spring,Casual
2134,Shirts,Purple,Men,Spring,Casual
2135,Shirts,Red,Men,Spring,Casual
2137,Shirts,Green,Men,Spring,Casual
2139,Tshirts,White,Men,Spring,Casual
2141,Tshirts,Green,Men,Spring,Casual
2142,Tshirts,Grey,Men,Spring,Casual
2143,Tshirts,Navy Blue,Men,Spring,Casual
2144,Tshirts,Pink,Men,Spring,Casual
2145,Tshirts,Green,Men,Spring,Casual
2147,Tshirts,Orange,Men,Spring,Casual
2150,Tshirts,White,Men,Spring,Casual
2151,Tshirts,White,Men,Spring,Casual
2153,Tshirts,Navy Blue,Men,Spring,Casual
2154,Tshirts,White,Men,Spring,Casual
2155,Tshirts,Green,Men,Spring,Casual
2156,Tshirts,Navy Blue,Men,Spring,Casual
2157,Tshirts,Yellow,Men,Spring,Casual
2158,Tshirts,Red,Men,Spring,Casual
2159,Tshirts,Green,Men,Spring,Casual
2160,Tshirts,Red,Men,Spring,Casual
2161,Tshirts,Blue,Men,Spring,Casual
2162,Shirts,Blue,Men,Spring,Casual
2163,Shirts,Red,Men,Summer,Casual
2164,Shirts,Purple,Men,Spring,Casual
2165,Shirts,Blue,Men,Summer,Casual
2166,Shirts,Blue,Men,Summer,Casual
2169,Shirts,Red,Men,Summer,Casual
2171,Tshirts,Brown,Men,Summer,Casual
2172,Tshirts,Navy Blue,Men,Summer,Casual
2176,Tshirts,Blue,Men,Spring,Casual
2177,Tshirts,Blue,Men,Summer,Casual
2179,Tshirts,Grey,Men,Spring,Casual
2180,Tshirts,Orange,Men,Summer,Casual
2184,Tshirts,Blue,Men,Summer,Casual
2187,Shorts,Navy Blue,Men,Fall,Sports
2188,Apparel Set,Black,Women,Summer,Sports
2189,Tshirts,Grey,Men,Fall,Sports
2190,Track Pants,Grey,Men,Fall,Sports
2192,Shorts,White,Men,Fall,Sports
2193,Shorts,Navy Blue,Men,Fall,Sports
2195,Capris,Black,Women,Fall,Sports
2196,Sports Shoes,White,Men,Fall,Sports
2197,Sports Shoes,White,Men,Fall,Sports
2198,Sports Shoes,White,Men,Fall,Sports
2200,Tshirts,Red,Men,Fall,Sports
2201,Tshirts,Black,Men,Fall,Sports
2202,Tshirts,White,Men,Fall,Sports
2204,Tshirts,Black,Men,Fall,Sports
2206,Tshirts,Grey,Men,Fall,Sports
2207,Tshirts,Blue,Men,Fall,Sports
2208,Flip Flops,Black,Men,Fall,Casual
2209,Tshirts,White,Men,Fall,Sports
2210,Tshirts,Black,Men,Fall,Sports
2211,Sandals,Navy Blue,Men,Fall,Casual
2212,Tshirts,Green,Men,Fall,Casual
2214,Socks,Black,Women,Fall,Sports
2216,Socks,Beige,Women,Fall,Sports
2217,Socks,Pink,Women,Fall,Sports
2218,Sandals,Black,Men,Fall,Casual
2219,Casual Shoes,Black,Men,Fall,Casual
2221,Backpacks,Blue,Unisex,Summer,Sports
2224,Sandals,Green,Men,Fall,Casual
2226,Track Pants,Black,Women,Fall,Sports
2228,Socks,Black,Men,Fall,Sports
2229,Tshirts,White,Men,Fall,Sports
2230,Sandals,Black,Men,Fall,Casual
2232,Tshirts,White,Men,Fall,Casual
2233,Sandals,Black,Men,Fall,Casual
2234,Tshirts,Black,Men,Fall,Casual
2235,Sandals,Black,Men,Fall,Sports
2237,Tshirts,Purple,Men,Fall,Sports
2238,Flip Flops,Black,Men,Fall,Casual
2241,Tshirts,Green,Men,Fall,Sports
2243,Tshirts,White,Men,Fall,Sports
2244,Tshirts,Black,Women,Fall,Casual
2245,Tshirts,White,Women,Fall,Sports
2249,Backpacks,Blue,Unisex,Summer,Sports
2250,Flip Flops,Red,Men,Fall,Casual
2251,Flip Flops,Brown,Men,Fall,Casual
2252,Tshirts,Black,Men,Fall,Casual
2253,Tshirts,Yellow,Men,Fall,Sports
2254,Tshirts,Purple,Women,Fall,Casual
2255,Track Pants,Brown,Men,Fall,Sports
2256,Tshirts,Blue,Men,Fall,Casual
2259,Tshirts,Blue,Men,Fall,Sports
2260,Tshirts,Black,Men,Fall,Casual
2261,Backpacks,Grey,Unisex,Fall,Casual
2262,Backpacks,Pink,Unisex,Fall,Sports
2264,Backpacks,Black,Unisex,Fall,Sports
2265,Tshirts,Orange,Women,Fall,Sports
2266,Tshirts,Green,Women,Fall,Sports
2269,Tshirts,Green,Women,Fall,Sports
2270,Tshirts,Pink,Women,Fall,Casual
2271,Tshirts,Red,Men,Fall,Sports
2273,Tshirts,Red,Men,Summer,Sports
2274,Tshirts,White,Men,Fall,Sports
2275,Tshirts,White,Men,Fall,Sports
2276,Tshirts,Blue,Men,Fall,Sports
2279,Tshirts,Red,Men,Fall,Sports
2280,Tshirts,Pink,Women,Fall,Sports
2283,Tshirts,Black,Men,Spring,Sports
2284,Tshirts,Yellow,Men,Fall,Sports
2285,Tshirts,Purple,Men,Fall,Sports
2287,Tshirts,White,Men,Summer,Casual
2288,Tshirts,Black,Women,Fall,Sports
2289,Tshirts,Blue,Women,Fall,Sports
2291,Tshirts,White,Men,Fall,Sports
2292,Tshirts,Black,Women,Fall,Sports
2293,Tshirts,Pink,Women,Fall,Casual
2294,Tops,White,Women,Fall,Sports
2295,Tshirts,Pink,Women,Fall,Sports
2296,Tshirts,Black,Women,Fall,Sports
2297,Tshirts,Pink,Women,Fall,Sports
2298,Tshirts,Red,Men,Fall,Sports
2299,Tshirts,Purple,Women,Fall,Sports
2300,Tshirts,Pink,Women,Fall,Sports
2301,Tshirts,White,Men,Fall,Sports
2302,Tshirts,White,Women,Fall,Sports
2303,Tshirts,Pink,Women,Fall,Sports
2304,Tshirts,Red,Men,Summer,Sports
2305,Tshirts,Blue,Women,Fall,Sports
2307,Tshirts,Purple,Women,Fall,Sports
2309,Tshirts,Blue,Women,Fall,Sports
2310,Tshirts,Red,Men,Fall,Sports
2311,Tshirts,Pink,Women,Fall,Sports
2312,Tshirts,White,Men,Fall,Sports
2313,Tshirts,White,Women,Fall,Sports
2315,Tshirts,Pink,Women,Fall,Sports
2316,Tshirts,Green,Men,Fall,Sports
2317,Tshirts,White,Men,Fall,Casual
2318,Tshirts,Black,Men,Summer,Sports
2320,Tshirts,Black,Men,Summer,Sports
2321,Tshirts,White,Men,Fall,Casual
2323,Tshirts,White,Men,Fall,Casual
2325,Tshirts,Black,Men,Fall,Casual
2326,Tshirts,White,Men,Fall,Casual
2327,Tshirts,White,Men,Fall,Casual
2328,Tshirts,White,Men,Fall,Casual
2329,Tshirts,Grey,Men,Fall,Casual
2330,Tshirts,Black,Men,Fall,Casual
2331,Tshirts,Grey,Men,Fall,Casual
2333,Tshirts,Blue,Men,Fall,Casual
2335,Tshirts,Blue,Men,Fall,Casual
2336,Tshirts,Grey,Men,Fall,Casual
2337,Tshirts,Grey,Men,Fall,Casual
2340,Tshirts,Purple,Men,Fall,Casual
2341,Tshirts,Black,Men,Fall,Casual
2342,Tshirts,Green,Men,Fall,Casual
2343,Tshirts,Green,Men,Fall,Casual
2344,Tshirts,Black,Men,Fall,Casual
2346,Tshirts,Blue,Men,Fall,Casual
2347,Tshirts,White,Men,Fall,Casual
2349,Tshirts,Red,Men,Fall,Casual
2353,Sports Shoes,Grey,Men,Summer,Sports
2354,Sports Equipment,Black,Unisex,Winter,Sports
2355,Sports Equipment,White,Unisex,Fall,Sports
2356,Sports Equipment,Black,Unisex,Winter,Sports
2357,Accessories,White,Men,Fall,Sports
2359,Caps,Navy Blue,Men,Winter,Sports
2360,Caps,White,Unisex,Summer,Sports
2361,Caps,Black,Men,Summer,Sports
2363,Backpacks,Black,Unisex,Summer,Sports
2368,Casual Shoes,Brown,Men,Winter,Casual
2370,Formal Shoes,Black,Men,Winter,Formal
2371,Casual Shoes,Brown,Men,Winter,Casual
2372,Formal Shoes,Black,Men,Winter,Formal
2373,Formal Shoes,Brown,Men,Winter,Formal
2374,Casual Shoes,Brown,Men,Winter,Casual
2375,Formal Shoes,Black,Men,Winter,Formal
2377,Formal Shoes,Black,Men,Winter,Formal
2378,Formal Shoes,Black,Men,Winter,Formal
2379,Formal Shoes,Black,Men,Winter,Formal
2380,Casual Shoes,Black,Men,Winter,Casual
2381,Formal Shoes,Brown,Men,Winter,Formal
2382,Formal Shoes,Black,Men,Winter,Formal
2383,Casual Shoes,Black,Men,Winter,Casual
2384,Formal Shoes,Black,Men,Winter,Formal
2387,Casual Shoes,Black,Men,Winter,Casual
2388,Casual Shoes,Brown,Men,Winter,Casual
2390,Casual Shoes,Black,Men,Winter,Casual
2393,Casual Shoes,Black,Men,Winter,Casual
2396,Casual Shoes,Black,Men,Winter,Casual
2398,Casual Shoes,Black,Men,Winter,Casual
2399,Casual Shoes,Black,Men,Winter,Casual
2402,Tshirts,Black,Men,Fall,Sports
2467,Caps,White,Men,Summer,Casual
2474,Sports Shoes,Black,Men,Fall,Sports
2477,Sports Shoes,Blue,Men,Fall,Sports
2479,Tshirts,Grey,Men,Fall,Casual
2480,Tshirts,Navy Blue,Men,Fall,Casual
2481,Tshirts,Black,Men,Fall,Casual
2482,Tops,Black,Women,Fall,Casual
2483,Tops,Purple,Women,Fall,Casual
2485,Tshirts,Purple,Women,Fall,Sports
2487,Sandals,Black,Men,Fall,Casual
2488,Sports Sandals,Black,Men,Fall,Casual
2490,Casual Shoes,White,Women,Summer,Casual
2491,Tshirts,Blue,Men,Fall,Sports
2492,Tshirts,Yellow,Men,Fall,Casual
2494,Flip Flops,White,Men,Fall,Casual
2495,Casual Shoes,Black,Men,Fall,Casual
2496,Casual Shoes,Black,Men,Fall,Casual
2498,Casual Shoes,Black,Men,Fall,Casual
2499,Casual Shoes,Grey,Men,Fall,Casual
2502,Casual Shoes,Black,Men,Fall,Casual
2503,Casual Shoes,Brown,Men,Fall,Casual
2504,Casual Shoes,White,Men,Fall,Casual
2505,Casual Shoes,Black,Men,Fall,Casual
2506,Casual Shoes,Brown,Men,Fall,Casual
2507,Casual Shoes,White,Men,Fall,Casual
2508,Casual Shoes,Brown,Men,Fall,Casual
2509,Casual Shoes,Grey,Men,Fall,Casual
2510,Casual Shoes,Black,Men,Fall,Casual
2541,Casual Shoes,White,Men,Summer,Casual
2542,Flip Flops,Black,Men,Summer,Casual
2543,Flip Flops,Green,Men,Fall,Casual
2545,Flip Flops,Red,Men,Summer,Casual
2546,Flip Flops,Black,Men,Fall,Casual
2547,Flip Flops,Green,Men,Summer,Casual
2549,Flip Flops,Red,Men,Summer,Casual
2550,Flip Flops,Black,Men,Fall,Casual
2552,Flip Flops,Blue,Men,Fall,Casual
2553,Flip Flops,Red,Men,Summer,Casual
2554,Tshirts,White,Women,Summer,Casual
2555,Tops,Black,Women,Summer,Casual
2556,Tshirts,Black,Men,Fall,Casual
2557,Tshirts,Black,Women,Summer,Casual
2558,Track Pants,Black,Women,Summer,Casual
2562,Bottomwear,Black,Women,Fall,Sports
2572,Track Pants,Navy Blue,Women,Summer,Casual
2574,Shorts,Grey,Women,Summer,Casual
2576,Tops,Black,Women,Summer,Sports
2577,Tops,White,Women,Summer,Casual
2579,Shorts,Blue,Women,Summer,Sports
2580,Capris,Black,Women,Summer,Sports
2582,Caps,Red,Unisex,Summer,Casual
2584,Track Pants,Black,Unisex,Fall,Sports
2585,Caps,Black,Unisex,Summer,Casual
2590,Capris,Navy Blue,Women,Summer,Casual
2591,Tops,Black,Women,Summer,Casual
2601,Tshirts,Red,Men,Fall,Sports
2602,Tshirts,Purple,Women,Fall,Sports
2603,Tshirts,Black,Men,Summer,Casual
2604,Tshirts,Maroon,Women,Fall,Sports
2605,Tshirts,White,Women,Fall,Sports
2606,Tshirts,Black,Men,Fall,Sports
2607,Tshirts,Black,Men,Fall,Sports
2608,Heels,Black,Women,Winter,Casual
2609,Flats,Silver,Women,Fall,Casual
2611,Heels,Gold,Women,Winter,Casual
2612,Flats,Black,Women,Fall,Casual
2614,Flats,Beige,Women,Fall,Casual
2616,Flats,Gold,Women,Fall,Sports
2617,Tshirts,Red,Men,Summer,Sports
2618,Flats,Silver,Women,Spring,Casual
2619,Tshirts,White,Men,Fall,Sports
2620,Tshirts,Blue,Men,Fall,Sports
2621,Tshirts,Blue,Men,Fall,Sports
2622,Tshirts,Blue,Men,Fall,Sports
2623,Flats,Black,Women,Fall,Casual
2624,Heels,Black,Women,Winter,Casual
2625,Flats,Gold,Women,Fall,Casual
2626,Flats,Red,Women,Fall,Casual
2627,Flats,Silver,Women,Fall,Casual
2628,Flats,Gold,Women,Fall,Casual
2629,Flats,Black,Women,Fall,Casual
2633,Heels,Black,Men,Summer,Smart Casual
2634,Sandals,Beige,Men,Fall,Casual
2635,Sandals,White,Men,Fall,Sports
2636,Sandals,Brown,Men,Fall,Casual
2637,Formal Shoes,Black,Men,Winter,Formal
2642,Formal Shoes,Black,Men,Fall,Formal
2645,Handbags,Pink,Women,Winter,Casual
2647,Handbags,Brown,Women,Winter,Casual
2648,Handbags,Brown,Women,Winter,Casual
2649,Handbags,Black,Women,Winter,Casual
2651,Handbags,White,Women,Winter,Casual
2653,Handbags,Grey,Women,Winter,Casual
2654,Handbags,Red,Women,Winter,Casual
2657,Handbags,Pink,Women,Winter,Casual
2659,Handbags,Brown,Women,Winter,Casual
2662,Handbags,Brown,Women,Winter,Casual
2663,Handbags,Brown,Women,Winter,Casual
2665,Handbags,Grey,Women,Winter,Casual
2666,Handbags,Grey,Women,Winter,Casual
2667,Handbags,Black,Women,Winter,Casual
2669,Handbags,Brown,Women,Winter,Casual
2670,Handbags,Yellow,Women,Winter,Casual
2671,Handbags,Gold,Women,Winter,Casual
